epoch,loss,mean_iou,val_loss,val_mean_iou
0,0.5730536580085754,0.08412466198205948,0.6659137606620789,0.12221754342317581
1,0.3957841992378235,0.2722799479961395,0.5883612632751465,0.12418372929096222
2,0.29099053144454956,0.6555745601654053,0.5448608994483948,0.2366020679473877
3,0.24250583350658417,0.8127393126487732,0.4222876727581024,0.5552701950073242
4,0.21864913403987885,0.833874523639679,0.42126893997192383,0.4551365375518799
5,0.19698897004127502,0.8697993159294128,0.3852173388004303,0.5250177979469299
6,0.17914514243602753,0.8915935158729553,0.40583187341690063,0.479727566242218
7,0.16306953132152557,0.9093592166900635,0.40523040294647217,0.4825342893600464
8,0.14964474737644196,0.9118958115577698,0.40104007720947266,0.4854836165904999
9,0.13711990416049957,0.9156509041786194,0.40846365690231323,0.47341856360435486
10,0.1269419938325882,0.9039591550827026,0.37825658917427063,0.5488362908363342
11,0.11781992763280869,0.9024291634559631,0.4704025387763977,0.3951757550239563
12,0.10666175931692123,0.9363014698028564,0.39392316341400146,0.4977453947067261
13,0.09869061410427094,0.9285004734992981,0.4349982440471649,0.45933279395103455
14,0.09182478487491608,0.915328323841095,0.3994869291782379,0.49529510736465454
15,0.08315207809209824,0.9464762806892395,0.4302417039871216,0.4606597125530243
16,0.07705371826887131,0.9408730268478394,0.44820454716682434,0.4502556622028351
17,0.07191216945648193,0.9424960613250732,0.4586106240749359,0.4526563882827759
18,0.06624460220336914,0.9450451731681824,0.4488328695297241,0.4607996940612793
19,0.06226980313658714,0.9437223076820374,0.44846612215042114,0.4621599316596985
20,0.05655428394675255,0.9584980607032776,0.43324902653694153,0.4831218421459198
21,0.05250540375709534,0.9595319628715515,0.4413011372089386,0.4825647473335266
22,0.04832862317562103,0.9654550552368164,0.46351760625839233,0.46327030658721924
23,0.045252930372953415,0.9561061263084412,0.49127110838890076,0.4507703483104706
24,0.043833743780851364,0.9279698729515076,0.3961507976055145,0.5368586182594299
25,0.039022866636514664,0.9646897912025452,0.4703809916973114,0.4684789180755615
26,0.03602565824985504,0.9704323410987854,0.4682765603065491,0.4836287498474121
27,0.03371398150920868,0.9701249003410339,0.4614465534687042,0.49397239089012146
28,0.031295303255319595,0.9702463746070862,0.3827328383922577,0.5794645547866821
29,0.03162047639489174,0.9399670958518982,0.37492120265960693,0.5782887935638428
30,0.027352072298526764,0.9693634510040283,0.49931594729423523,0.48101943731307983
31,0.02557782642543316,0.9675348401069641,0.585545539855957,0.41113951802253723
32,0.02513880282640457,0.9572134017944336,0.48615431785583496,0.5141648054122925
33,0.022258788347244263,0.9764864444732666,0.477313369512558,0.5240237712860107
34,0.020593561232089996,0.9811388850212097,0.43924176692962646,0.5575339198112488
35,0.01919163577258587,0.9825377464294434,0.4509986639022827,0.5509517192840576
36,0.017944809049367905,0.9819204807281494,0.45939597487449646,0.5505099892616272
37,0.01666852831840515,0.9841524362564087,0.4702830910682678,0.5457468628883362
38,0.015728522092103958,0.9827792048454285,0.3865547776222229,0.62511146068573
39,0.015752257779240608,0.9648796319961548,0.5168262720108032,0.5029866695404053
40,0.015072320587933064,0.9700642824172974,0.4677375257015228,0.5571393370628357
41,0.012941582128405571,0.9852525591850281,0.4487120509147644,0.5700914859771729
42,0.012147443369030952,0.98605877161026,0.4684365391731262,0.5667761564254761
43,0.011236067861318588,0.987037181854248,0.45375820994377136,0.5759744644165039
44,0.010697671212255955,0.9872236847877502,0.5026408433914185,0.5517335534095764
45,0.010015095584094524,0.9811714291572571,0.5731483697891235,0.5066896080970764
46,0.010521676391363144,0.968169629573822,0.47291672229766846,0.5773895978927612
47,0.009008343331515789,0.9857193231582642,0.4401128590106964,0.6114648580551147
48,0.008245266042649746,0.9888808727264404,0.4734269678592682,0.584743082523346
49,0.00780268432572484,0.986622154712677,0.5356994271278381,0.5500076413154602
